Nama Bahan Makanan,Air,Energi,Protein,Lemak,Karbohidrat,Serat,Abu,Kalsium,Fosfor,Besi,Natrium,Kalium,Tembaga,Seng,Retinol,Beta-karoten,Karoten total,Vitamin B1,Vitamin B2,Niasin,Vitamin C,BDD,Mentah/Olahan,Kelompok Makanan
"Biscuits,Pln Or Bttrmlk,Refr Dough,Lower Fat,Bkd",,300.0,7.8,5.2,55.4,,,19.0,,3.09,1000.0,185.0,,,,,,,,,0.0,,,
"Biscuit, Pln Or Butmlk, Refri Dough, Higher Fat",,322.0,6.66,13.63,43.27,,,51.0,,2.48,999.0,162.0,,,,,,,,,0.0,,,
"Biscuits,Pln Or Bttrmlk,Refr Dough,Higher Fat,Bkd",,352.0,7.38,15.09,46.63,,,54.0,,2.68,1080.0,177.0,,,,,,,,,0.0,,,
"Biscuits,Pln Or Bttrmlk,Prep From Recipe",,353.0,7.0,16.3,44.6,,,235.0,,2.9,580.0,121.0,,,,,,,,,0.2,,,
"Biscuits,Mxd Grain,Refr Dough",,263.0,6.1,5.6,47.4,,,17.0,,2.75,670.0,456.0,,,,,,,,,0.0,,,
"Bread,Banana,Prep From Recipe,Made W/Margarine",,326.0,4.3,10.5,54.6,,,21.0,,1.4,302.0,134.0,,,,,,,,,1.7,,,
"Bread,Boston Brown,Canned",,195.0,5.2,1.5,43.3,,,70.0,,2.1,631.0,318.0,,,,,,,,,0.0,,,
"Bread,Cornbread,Dry Mix,Enr (Incl Corn Muffin Mix)",,418.0,7.0,12.2,69.5,,,57.0,,2.5,817.0,113.0,,,,,,,,,0.1,,,
"Bread,Cornbread,Dry Mix,Prep",,314.0,7.2,10.0,48.1,,,73.0,,1.9,778.0,128.0,,,,,,,,,0.1,,,
"Bread,Cornbread,Prep From Recipe,Made W/Lofat (2%) Milk",,266.0,6.7,7.1,43.5,,,249.0,,2.5,658.0,147.0,,,,,,,,,0.3,,,
"Bread,Cracked-Wheat",,260.0,8.7,3.9,49.5,,,43.0,,2.81,538.0,177.0,,,,,,,,,0.0,,,
"Bread,Egg",,283.0,9.5,6.0,47.8,,,93.0,,3.04,412.0,115.0,,,,,,,,,0.0,,,
"Bread,Egg,Toasted",,315.0,10.5,6.6,52.6,,,102.0,,3.34,540.0,126.0,,,,,,,,,0.0,,,
"Bread, French Or Vienna (Includes Sourdough)",,289.0,11.75,1.83,56.44,,,44.0,,3.63,513.0,128.0,,,,,,,,,0.2,,,
"Bread, French Or Vienna, Tstd (Ind Sourdough)",,319.0,13.0,2.14,61.93,,,47.0,,3.87,720.0,140.0,,,,,,,,,0.2,,,
"Bread,Irish Soda,Prep From Recipe",,290.0,6.6,5.0,56.0,,,81.0,,2.69,398.0,266.0,,,,,,,,,0.8,,,
"Bread,Italian",,271.0,8.8,3.5,50.0,,,78.0,,2.94,584.0,110.0,,,,,,,,,0.0,,,
"Bread,Multi-Grain (Includes Whole-Grain)",,265.0,13.36,4.23,43.34,,,103.0,,2.5,420.0,230.0,,,,,,,,,0.1,,,
"Bread,Multi-Grain,Tstd (Includes Whole-Grain)",,288.0,14.52,4.6,47.11,,,111.0,,2.72,457.0,250.0,,,,,,,,,0.1,,,
"Bread,Oat Bran",,236.0,10.4,4.4,39.8,,,65.0,,3.12,407.0,147.0,,,,,,,,,0.0,,,
"Bread,Oat Bran,Toasted",,259.0,11.4,4.8,43.7,,,71.0,,3.43,448.0,123.0,,,,,,,,,0.0,,,
"Bread,Oatmeal",,269.0,8.4,4.4,48.5,,,66.0,,2.7,470.0,142.0,,,,,,,,,0.0,,,
"Bread,Oatmeal,Toasted",,292.0,9.2,4.8,52.7,,,72.0,,2.94,651.0,154.0,,,,,,,,,0.3,,,
"Bread,Pita,White,Enriched",,275.0,9.1,1.2,55.7,,,86.0,,2.62,536.0,120.0,,,,,,,,,0.0,,,
"Bread,Pita,Whole-Wheat",,266.0,9.8,2.6,55.0,,,15.0,,3.06,532.0,170.0,,,,,,,,,0.0,,,
"Bread,Prot (Incl Gluten)",,245.0,12.1,2.2,43.8,,,124.0,,4.15,478.0,322.0,,,,,,,,,0.0,,,
"Bread,Pumpernickel",,250.0,8.7,3.1,47.5,,,68.0,,2.87,671.0,208.0,,,,,,,,,0.0,,,
"Bread,Pumpernickel,Tstd",,275.0,9.5,3.4,52.2,,,74.0,,3.15,738.0,228.0,,,,,,,,,0.0,,,
"Bread,Raisin,Enriched",,274.0,7.9,4.4,52.3,,,66.0,,2.9,313.0,227.0,,,,,,,,,0.1,,,
"Bread,Raisin,Tstd,Enr",,297.0,8.6,4.8,56.9,,,72.0,,3.15,424.0,246.0,,,,,,,,,0.4,,,
"Bread,Red-Cal,Oat Bran",,201.0,8.0,3.2,41.3,,,57.0,,3.15,573.0,102.0,,,,,,,,,0.0,,,
"Bread,Red-Cal,Oat Bran,Tstd",,239.0,9.5,3.8,49.2,,,68.0,,3.75,418.0,122.0,,,,,,,,,0.0,,,
"Bread,Red-Cal,Oatmeal",,210.0,7.6,3.5,43.3,,,115.0,,2.3,388.0,124.0,,,,,,,,,0.2,,,
"Bread,Reduced-Calorie,Rye",,203.0,9.1,2.9,40.5,,,76.0,,3.1,513.0,98.0,,,,,,,,,0.4,,,
"Bread,Red-Cal,Wheat",,217.0,13.32,2.92,42.47,,,163.0,,2.91,332.0,150.0,,,,,,,,,0.1,,,
"Bread,Red-Cal,White",,207.0,8.7,2.5,44.3,,,94.0,,3.19,453.0,76.0,,,,,,,,,0.5,,,
"Bread,Rice Bran",,243.0,8.9,4.6,43.5,,,69.0,,3.61,303.0,215.0,,,,,,,,,0.0,,,
"Bread,Rye",,258.0,8.5,3.3,48.3,,,73.0,,2.83,660.0,166.0,,,,,,,,,0.4,,,
"Bread,Rye,Toasted",,284.0,9.4,3.6,53.1,,,80.0,,3.1,725.0,183.0,,,,,,,,,0.2,,,
"Bread,Wheat",,270.0,10.37,3.44,49.46,,,138.0,,3.52,519.0,182.0,,,,,,,,,0.2,,,
"Bread, Wheat, Tstd",,313.0,12.96,4.27,55.77,,,165.0,,4.09,611.0,223.0,,,,,,,,,0.2,,,
"Bread,Wheat Bran",,248.0,8.8,3.4,47.8,,,74.0,,3.07,486.0,227.0,,,,,,,,,0.0,,,
"Bread,Wheat Germ",,261.0,9.6,2.9,48.3,,,89.0,,3.45,553.0,254.0,,,,,,,,,0.2,,,
"Bread,White,Commly Prep (Incl Soft Bread Crumbs)",,265.0,9.15,3.19,49.06,,,260.0,,3.59,491.0,115.0,,,,,,,,,0.0,,,
"Bread,White,Commly Prep,Tstd",,293.0,9.0,4.0,54.4,,,119.0,,3.33,592.0,131.0,,,,,,,,,0.0,,,
"Bread,White,Prep From Recipe,Made W/Nonfat Dry Milk",,274.0,7.7,2.6,53.6,,,32.0,,3.18,336.0,111.0,,,,,,,,,0.0,,,
"Bread,White,Prep From Recipe,Made W/Lofat (2%) Milk",,285.0,7.9,5.7,49.6,,,57.0,,2.97,359.0,146.0,,,,,,,,,0.2,,,
"Bread,Whole-Wheat,Comm. Prepared",,247.0,12.95,3.35,41.29,,,107.0,,2.43,472.0,248.0,,,,,,,,,0.0,,,
"Bread, Whole-Wheat, Commer Prep, Toasted",,306.0,16.27,4.07,51.16,,,130.0,,2.96,583.0,326.0,,,,,,,,,0.0,,,
"Bread Crumbs,Dry,Grated,Pln",,395.0,13.35,5.3,71.98,,,183.0,,4.83,732.0,196.0,,,,,,,,,0.0,,,
"Bread Sticks,Plain",,412.0,12.0,9.5,68.4,,,22.0,,4.28,657.0,124.0,,,,,,,,,0.0,,,
"Bread Stuffing,Bread,Dry Mix",,386.0,11.0,3.4,76.2,,,97.0,,3.81,1405.0,246.0,,,,,,,,,0.0,,,
"Bread Stuffing,Bread,Dry Mix,Prep",,177.0,3.2,8.6,21.7,,,32.0,,1.09,524.0,74.0,,,,,,,,,0.0,,,
"Bread Stuffing,Cornbread,Dry Mix",,389.0,10.0,4.2,76.7,,,78.0,,3.25,1283.0,204.0,,,,,,,,,3.5,,,
"Bread Stuffing,Cornbread,Dry Mix,Prep",,179.0,2.9,8.8,21.9,,,26.0,,0.94,455.0,62.0,,,,,,,,,0.8,,,
"Cake,Angelfood,Dry Mix",,373.0,8.9,0.4,85.1,,,121.0,,0.32,488.0,197.0,,,,,,,,,0.0,,,
"Cake,Carrot,Dry Mix,Pudding-Type",,415.0,5.1,9.8,79.2,,,172.0,,1.8,567.0,169.0,,,,,,,,,1.2,,,
"Cake,Choc,Dry Mix,Pudding-Type",,396.0,4.6,9.2,78.7,,,133.0,,2.92,893.0,337.0,,,,,,,,,0.1,,,
"Cake,Choc,Dry Mix,Reg",,428.0,5.9,15.6,73.0,,,150.0,,4.5,825.0,330.0,,,,,,,,,0.0,,,
"Coffeecake,Cinn W/Crumb Topping,Dry Mix",,436.0,4.8,12.0,77.7,,,148.0,,1.9,596.0,87.0,,,,,,,,,0.2,,,
"Cake,German Choc,Dry Mix,Pudding-Type",,401.0,4.0,9.5,80.1,,,97.0,,1.93,813.0,149.0,,,,,,,,,0.0,,,
"Cake,Gingerbread,Dry Mix",,437.0,4.4,13.8,74.6,,,94.0,,4.7,657.0,341.0,,,,,,,,,0.2,,,
"Cake,Marble,Dry Mix,Pudding-Type",,416.0,3.4,11.7,79.3,,,76.0,,1.62,656.0,123.0,,,,,,,,,0.0,,,
"Cake,White,Dry Mix,Pudding-Type,Enr",,423.0,3.9,9.5,81.0,,,77.0,,1.36,665.0,72.0,,,,,,,,,0.0,,,
"Cake,White,Dry Mix,Reg",,426.0,4.5,10.9,78.0,,,192.0,,1.39,664.0,117.0,,,,,,,,,0.3,,,
"Cake,Yel,Dry Mix,Pudding-Type",,423.0,4.0,9.8,79.9,,,115.0,,1.57,687.0,63.0,,,,,,,,,0.0,,,
"Cake,Yel,Dry Mix,Reg,Enr",,432.0,4.4,11.6,78.1,,,135.0,,1.5,657.0,82.0,,,,,,,,,0.2,,,
"Cookies,Animal Crackers (Incl Arrowroot,Tea Biscuits,)",,446.0,6.9,13.8,74.1,,,43.0,,2.75,482.0,100.0,,,,,,,,,0.0,,,
"Cookies,Brownies,Dry Mix,Reg",,434.0,4.0,14.9,76.6,,,19.0,,1.99,303.0,219.0,,,,,,,,,0.3,,,
"Cookies,Chocolate Wafers",,433.0,6.6,14.2,72.4,,,31.0,,4.01,690.0,210.0,,,,,,,,,0.0,,,
"Cookies,Choc Chip,Dry Mix",,497.0,4.6,25.2,66.1,,,43.0,,2.07,290.0,208.0,,,,,,,,,0.0,,,
"Cookies,Choc Chip,Refr Dough",,443.0,4.4,20.4,61.4,,,25.0,,2.25,209.0,180.0,,,,,,,,,0.0,,,
"Cookies,Choc Chip,Refr Dough,Bkd",,492.0,4.9,22.6,68.2,,,28.0,,2.5,232.0,200.0,,,,,,,,,0.0,,,
"Cookies,Choc Sndwch,W/Creme Filling,Reg",,469.0,5.61,19.78,70.67,,,22.0,,8.68,503.0,215.0,,,,,,,,,0.0,,,
"Cookies,Choc Sndwch,W/Creme Filling,Reg,Chocolate-Coated",,481.0,3.6,26.4,66.1,,,35.0,,3.13,326.0,240.0,,,,,,,,,0.0,,,
"Cookies,Choc Sndwch,W/Ex Creme Filling",,497.0,4.33,24.52,68.2,,,16.0,,7.8,351.0,137.0,,,,,,,,,0.0,,,
"Cookies,Fig Bars",,348.0,3.7,7.3,70.9,,,64.0,,2.9,350.0,207.0,,,,,,,,,0.3,,,
"Cookies,Fortune",,378.0,4.2,2.7,84.0,,,12.0,,1.44,274.0,41.0,,,,,,,,,0.0,,,
"Cookies,Gingersnaps",,416.0,5.6,9.8,76.9,,,77.0,,6.4,558.0,346.0,,,,,,,,,0.0,,,
"Cookies,Graham Crackers,Pln Or Honey (Incl Cinn)",,423.0,6.9,10.1,76.8,,,24.0,,3.73,477.0,135.0,,,,,,,,,0.0,,,
"Cookies,Graham Crackers,Chocolate-Coated",,484.0,5.8,23.2,66.5,,,58.0,,3.58,257.0,209.0,,,,,,,,,0.0,,,
"Cookies,Ladyfingers,W/Lemon Juc&Rind",,365.0,10.6,9.1,59.7,,,47.0,,3.58,147.0,113.0,,,,,,,,,3.7,,,
"Cookies,Marshmllw,Chocolate-Coated (Incl Marshmllw Pies)",,421.0,4.0,16.9,67.7,,,46.0,,2.53,168.0,182.0,,,,,,,,,0.1,,,
"Cookies,Molasses",,430.0,5.6,12.8,73.8,,,74.0,,6.43,459.0,346.0,,,,,,,,,0.0,,,
"Cookies,Oatmeal,Commly Prep,Reg",,450.0,6.2,18.1,68.7,,,37.0,,2.58,383.0,142.0,,,,,,,,,0.5,,,
"Cookies,Oatmeal,Commly Prep,Soft-Type",,409.0,6.1,14.7,65.7,,,90.0,,2.79,349.0,135.0,,,,,,,,,0.2,,,
"Cookies,Oatmeal,Dry Mix",,462.0,6.5,19.2,67.3,,,25.0,,2.22,473.0,183.0,,,,,,,,,0.1,,,
"Cookies,Oatmeal,Refr Dough",,424.0,5.4,18.9,59.1,,,31.0,,2.14,294.0,147.0,,,,,,,,,0.0,,,
"Cookies,Oatmeal,Refr Dough,Bkd",,471.0,6.0,21.0,65.7,,,35.0,,2.38,327.0,163.0,,,,,,,,,0.1,,,
"Cookies,Oatmeal,Prep From Recipe,W/Raisins",,435.0,6.5,16.2,68.4,,,100.0,,2.65,538.0,239.0,,,,,,,,,0.5,,,
"Cookies,Pnut Butter,Commly Prep,Reg",,477.0,9.6,23.6,58.9,,,35.0,,2.51,415.0,167.0,,,,,,,,,0.0,,,
"Cookies,Pnut Butter,Commly Prep,Soft-Type",,457.0,5.3,24.4,57.7,,,12.0,,0.89,336.0,107.0,,,,,,,,,0.0,,,
"Cookies,Pnut Butter,Refr Dough",,458.0,8.2,25.0,52.1,,,101.0,,1.7,397.0,308.0,,,,,,,,,0.0,,,
"Cookies,Pnut Butter,Refr Dough,Bkd",,503.0,9.1,27.5,57.3,,,111.0,,1.87,436.0,338.0,,,,,,,,,0.0,,,
"Cookies,Pnut Butter Sndwch,Reg",,478.0,8.8,21.1,65.6,,,53.0,,2.6,368.0,192.0,,,,,,,,,0.1,,,
"Cookies,Raisin,Soft-Type",,401.0,4.1,13.6,68.0,,,46.0,,2.29,338.0,140.0,,,,,,,,,0.4,,,
"Cookies,Brownies,Dry Mix,Spl Dietary",,426.0,2.9,12.5,80.4,,,12.0,,1.52,83.0,335.0,,,,,,,,,0.0,,,
"Cookies,Brownies,Dry Mix,Spl Dietary,Prep",,384.0,3.8,11.1,71.3,,,12.0,,1.35,94.0,314.0,,,,,,,,,0.0,,,
"Cookies,Choc Chip,Commly Prep,Spl Dietary",,450.0,3.9,16.8,73.4,,,46.0,,3.5,406.0,199.0,,,,,,,,,0.0,,,
"Cookies,Choc Sndwch,W/Creme Filling,Spl Dietary",,461.0,4.5,22.1,67.7,,,98.0,,4.72,243.0,295.0,,,,,,,,,0.0,,,
"Cookies,Oatmeal,Commly Prep,Spl Dietary",,449.0,4.8,18.0,69.9,,,54.0,,4.07,406.0,175.0,,,,,,,,,0.3,,,
"Cookies,Pnut Butter Sndwch,Spl Dietary",,535.0,10.0,34.0,50.8,,,43.0,,2.55,412.0,294.0,,,,,,,,,0.0,,,
"Cookies,Sugar Wafers W/Creme Filling,Spl Dietary",,502.0,3.1,25.7,66.0,,,53.0,,1.44,9.0,61.0,,,,,,,,,0.0,,,
"Cookies,Sugar,Commly Prep,Spl Dietary",,431.0,4.1,13.0,76.8,,,25.0,,4.01,281.0,104.0,,,,,,,,,0.0,,,
"Cookies,Sugar,Commly Prep,Reg (Incl Vanilla)",,478.0,5.1,21.1,67.9,,,21.0,,2.14,357.0,63.0,,,,,,,,,0.1,,,
"Cookies,Sugar,Refr Dough",,436.0,4.2,20.7,59.0,,,81.0,,1.65,422.0,147.0,,,,,,,,,0.0,,,
"Cookies,Sugar,Refr Dough,Bkd",,484.0,4.7,23.1,65.6,,,90.0,,1.84,468.0,163.0,,,,,,,,,0.0,,,
"Cookies,Sugar Wafers W/Creme Filling,Reg",,502.0,3.84,23.24,70.64,,,27.0,,3.73,103.0,117.0,,,,,,,,,0.0,,,
"Cookies,Vanilla Sndwch W/Creme Filling",,483.0,4.5,20.0,72.1,,,27.0,,2.21,349.0,91.0,,,,,,,,,0.0,,,
"Puff Pastry,Frz,Rtb,Bkd",,558.0,7.4,38.5,45.7,,,10.0,,2.6,253.0,62.0,,,,,,,,,0.0,,,
"Cookies,Vanilla Wafers,Lower Fat",,441.0,5.0,15.2,73.6,,,48.0,,2.38,388.0,97.0,,,,,,,,,0.0,,,
"Cookies,Vanilla Wafers,Higher Fat",,473.0,4.3,19.4,71.1,,,25.0,,2.21,306.0,107.0,,,,,,,,,0.0,,,
"Crackers,Cheese,Regular",,489.0,10.93,22.74,59.42,,,136.0,,4.88,973.0,156.0,,,,,,,,,0.0,,,
"Crackers,Chs,Sandwich-Type W/Pnut Butter Filling",,496.0,12.41,25.12,56.74,,,50.0,,2.72,913.0,218.0,,,,,,,,,0.0,,,
"Crackers,Crispbread,Rye",,366.0,7.9,1.3,82.2,,,31.0,,2.43,453.0,319.0,,,,,,,,,0.0,,,
"Crackers,Matzo,Plain",,395.0,10.0,1.4,83.7,,,13.0,,3.16,0.0,112.0,,,,,,,,,0.0,,,
"Crackers,Matzo,Egg",,391.0,12.3,2.1,78.6,,,40.0,,2.7,21.0,150.0,,,,,,,,,0.1,,,
"Crackers,Matzo,Whole-Wheat",,351.0,13.1,1.5,78.9,,,23.0,,4.65,2.0,316.0,,,,,,,,,0.0,,,
"Crackers,Melba Toast,Pln",,390.0,12.1,3.2,76.6,,,93.0,,3.7,598.0,202.0,,,,,,,,,0.0,,,
"Crackers,Melba Toast,Rye (Incl Pumpernickel)",,389.0,11.6,3.4,77.3,,,78.0,,3.68,899.0,193.0,,,,,,,,,0.0,,,
"Crackers,Melba Toast,Wheat",,374.0,12.9,2.3,76.4,,,43.0,,4.5,837.0,148.0,,,,,,,,,0.0,,,
"Crackers,Milk",,455.0,7.6,15.8,69.7,,,172.0,,3.58,592.0,114.0,,,,,,,,,0.2,,,
"Crackers,Rusk Toast",,407.0,13.5,7.2,72.3,,,27.0,,2.72,253.0,245.0,,,,,,,,,0.0,,,
"Crackers,Rye,Sandwich-Type W/Chs Filling",,481.0,9.2,22.3,60.8,,,222.0,,2.45,1044.0,342.0,,,,,,,,,0.4,,,
"Crackers,Rye,Wafers,Plain",,334.0,9.6,0.9,80.4,,,40.0,,5.94,557.0,495.0,,,,,,,,,0.1,,,
"Crackers,Rye,Wafers,Seasoned",,381.0,9.0,9.2,73.8,,,44.0,,3.04,887.0,454.0,,,,,,,,,0.1,,,
"Crackers,Saltines (Incl Oyster,Soda,Soup)",,421.0,9.5,8.85,74.34,,,21.0,,5.13,1116.0,159.0,,,,,,,,,0.0,,,
"Crackers,Std Snack-Type,Reg",,504.0,6.6,25.83,61.37,,,95.0,,3.81,865.0,111.0,,,,,,,,,0.0,,,
"Crackers,Std Snack-Type,Sndwch,W/Chs Filling",,477.0,9.3,21.1,61.7,,,257.0,,2.39,888.0,429.0,,,,,,,,,0.1,,,
"Crackers,Std Snack-Type,Sndwch,W/Pnut Butter Filling",,494.0,11.47,24.54,58.38,,,81.0,,2.77,901.0,215.0,,,,,,,,,0.0,,,
"Crackers,Wheat,Regular",,456.0,8.95,17.36,67.35,,,81.0,,4.69,918.0,207.0,,,,,,,,,0.0,,,
"Crackers,Wheat,Sndwch,W/Chs Filling",,497.0,9.8,25.0,58.2,,,204.0,,2.62,913.0,306.0,,,,,,,,,1.5,,,
"Crackers,Wheat,Sndwch,W/Pnut Butter Filling",,495.0,13.5,26.7,53.8,,,170.0,,2.67,807.0,297.0,,,,,,,,,0.0,,,
"Crackers,Whole-Wheat",,427.0,10.58,14.13,69.55,,,36.0,,3.34,704.0,345.0,,,,,,,,,0.0,,,
Cracker Meal,,383.0,9.3,1.7,80.9,,,23.0,,4.64,16.0,115.0,,,,,,,,,0.0,,,
"Croissants,Butter",,406.0,8.2,21.0,45.8,,,37.0,,2.03,347.0,118.0,,,,,,,,,0.2,,,
"Croissants,Apple",,254.0,7.4,8.7,37.1,,,30.0,,1.1,274.0,90.0,,,,,,,,,0.5,,,
"Croissants,Cheese",,414.0,9.2,20.9,47.0,,,53.0,,2.15,361.0,132.0,,,,,,,,,0.2,,,
"Croutons,Plain",,407.0,11.9,6.6,73.5,,,76.0,,4.08,698.0,124.0,,,,,,,,,0.0,,,
"Croutons,Seasoned",,465.0,10.8,18.3,63.5,,,96.0,,2.82,1089.0,181.0,,,,,,,,,0.0,,,
"Danish Pastry,Cinn,Enr",,403.0,7.0,22.4,44.6,,,71.0,,1.96,371.0,125.0,,,,,,,,,0.1,,,
"Danish Pastry,Cheese",,374.0,8.0,21.9,37.2,,,35.0,,1.6,322.0,98.0,,,,,,,,,0.1,,,
"Danish Pastry,Fruit,Enr",,371.0,5.4,18.5,47.8,,,46.0,,1.77,354.0,83.0,,,,,,,,,3.9,,,
"Danish Pastry,Nut (Incl Almond,Raisin Nut,Cinn Nut)",,430.0,7.1,25.2,45.7,,,94.0,,1.8,298.0,95.0,,,,,,,,,1.7,,,
"Doughnuts,Cake-Type,Pln (Includes Unsugared,Old-Fashioned)",,418.0,5.87,23.55,45.63,,,25.0,,3.0,557.0,113.0,,,,,,,,,1.3,,,
"Doughnuts,Cake-Type,Pln,Chocolate-Coated Or Frstd",,452.0,4.93,25.25,51.33,,,24.0,,4.0,326.0,201.0,,,,,,,,,1.3,,,
"Doughnuts,Cake-Type,Pln,Sugared Or Glazed",,426.0,5.2,22.9,50.8,,,60.0,,1.06,402.0,102.0,,,,,,,,,0.1,,,
"Doughnuts,Cake-Type,Choc,Sugared Or Glazed",,417.0,4.5,19.9,57.4,,,213.0,,2.27,397.0,106.0,,,,,,,,,0.1,,,
"Doughnuts,Cake-Type,Wheat,Sugared Or Glazed",,360.0,6.3,19.3,42.6,,,49.0,,1.1,427.0,148.0,,,,,,,,,0.2,,,
"Doughnuts,French Crullers,Glazed",,412.0,3.1,18.3,59.5,,,26.0,,2.42,345.0,78.0,,,,,,,,,0.0,,,
"Doughnuts,Yeast-Leavened,W/Creme Filling",,361.0,6.4,24.5,30.0,,,25.0,,1.83,309.0,80.0,,,,,,,,,0.0,,,
"Doughnuts, Yeast-Leavened, Glazed, Enriched (Inc Honey Buns)",,399.0,6.21,19.1,50.64,,,46.0,,3.75,316.0,100.0,,,,,,,,,1.2,,,
"Doughnuts,Yeast-Leavened,W/Jelly Filling",,340.0,5.9,18.7,39.0,,,25.0,,1.76,240.0,79.0,,,,,,,,,0.0,,,
"Eclairs,Custard-Filled W/Choc Glaze,Prep From Recipe",,262.0,6.4,15.7,24.2,,,63.0,,1.18,337.0,117.0,,,,,,,,,0.3,,,
"English Muffin, Pln,Enched.W/Ca Prop (Incld Sourdough)",,227.0,8.87,1.69,44.17,,,163.0,,4.0,362.0,109.0,,,,,,,,,1.8,,,
"English,Muffin,Pln,Tstd,Enr,W/Ca Prop(Incl Sourdough)",,270.0,10.32,2.02,52.65,,,197.0,,4.65,477.0,129.0,,,,,,,,,1.7,,,
"English Muffins,Mixed-Grain (Incl Granola)",,235.0,9.1,1.8,46.3,,,196.0,,3.02,334.0,156.0,,,,,,,,,0.0,,,
"English Muffins,Mixed-Grain,Tstd (Incl Granola)",,255.0,9.9,1.9,50.3,,,213.0,,3.29,453.0,169.0,,,,,,,,,0.0,,,
"English Muffins,Raisin-Cinnamon (Includes Apple-Cinnamon)",,240.0,7.91,1.8,48.1,,,114.0,,4.5,277.0,173.0,,,,,,,,,1.3,,,
"English Muffins,Raisin-Cinnamon,Tstd (Incl Apple-Cinnamon)",,276.0,8.87,2.21,55.04,,,139.0,,4.9,369.0,194.0,,,,,,,,,1.4,,,
"English Muffins,Wheat",,223.0,8.7,2.0,44.8,,,178.0,,2.87,382.0,186.0,,,,,,,,,0.0,,,
"English Muffins,Wheat,Tstd",,243.0,9.4,2.1,48.7,,,193.0,,3.12,415.0,202.0,,,,,,,,,0.0,,,
"English Muffins,Whole-Wheat",,203.0,8.8,2.1,40.4,,,265.0,,2.45,364.0,210.0,,,,,,,,,0.0,,,
"English Muffins,Whole-Wheat,Tstd",,221.0,9.6,2.3,44.1,,,288.0,,2.66,396.0,228.0,,,,,,,,,0.0,,,
"French Toast,Frz,Rth",,213.0,7.4,6.1,32.1,,,107.0,,2.21,495.0,134.0,,,,,,,,,0.3,,,
"Ice Crm Cones,Cake Or Wafer-Type",,417.0,8.1,6.9,79.0,,,25.0,,3.6,256.0,112.0,,,,,,,,,0.0,,,
"Ice Crm Cones,Sugar,Rolled-Type",,402.0,7.9,3.8,84.1,,,44.0,,4.43,251.0,145.0,,,,,,,,,0.0,,,
"Muffins,Blueberry,Dry Mix",,366.0,4.9,10.0,63.2,,,25.0,,1.26,548.0,84.0,,,,,,,,,0.4,,,
"Muffins,Blueberry,Toaster-Type",,313.0,4.6,9.5,53.3,,,13.0,,0.51,247.0,83.0,,,,,,,,,0.0,,,
"Muffins,Corn,Dry Mix,Prep",,321.0,7.4,10.2,49.1,,,75.0,,1.94,795.0,131.0,,,,,,,,,0.1,,,
"Muffins,Corn,Toaster-Type",,346.0,5.3,11.3,57.9,,,19.0,,1.47,430.0,92.0,,,,,,,,,0.0,,,
"Muffins,Oat Bran",,270.0,7.0,7.4,48.3,,,63.0,,4.2,393.0,507.0,,,,,,,,,0.0,,,
"Muffins,Wheat Bran,Dry Mix",,396.0,7.1,12.0,73.0,,,36.0,,3.6,700.0,200.0,,,,,,,,,0.0,,,
"Muffins,Wheat Bran,Toaster-Type W/Raisins",,295.0,5.2,8.8,52.2,,,37.0,,2.66,495.0,166.0,,,,,,,,,0.0,,,
"Pancakes Pln,Frz,Rth (Includes Buttermilk)",,225.0,5.33,5.17,39.29,,,71.0,,2.19,505.0,124.0,,,,,,,,,0.3,,,
"Pancakes,Pln,Dry Mix,Complete (Incl Bttrmlk)",,368.0,9.77,3.1,73.65,,,344.0,,3.6,1082.0,191.0,,,,,,,,,0.4,,,
"Pancakes,Pln,Dry Mix,Complete,Prep",,194.0,5.2,2.5,36.7,,,126.0,,1.56,628.0,175.0,,,,,,,,,0.2,,,
"Pancakes,Pln,Dry Mix,Incomplete (Incl Bttrmlk)",,355.0,10.0,1.7,73.6,,,342.0,,3.05,1089.0,191.0,,,,,,,,,0.0,,,
"Pancakes,Pln,Dry Mix,Incomplete,Prep",,218.0,7.8,7.7,28.9,,,215.0,,1.3,505.0,199.0,,,,,,,,,0.6,,,
"Pancakes,Pln,Prep From Recipe",,227.0,6.4,9.7,28.3,,,219.0,,1.8,439.0,132.0,,,,,,,,,0.3,,,
"Pancakes,Blueberry,Prep From Recipe",,222.0,6.1,9.2,29.0,,,206.0,,1.72,412.0,138.0,,,,,,,,,2.2,,,
"Pancakes,Buckwheat,Dry Mix,Incomplete",,340.0,10.9,2.7,71.3,,,476.0,,4.73,767.0,316.0,,,,,,,,,0.0,,,
"Pancakes,Spl Dietary,Dry Mix",,349.0,8.9,1.4,73.9,,,99.0,,3.05,456.0,676.0,,,,,,,,,0.0,,,
"Pancakes,Whole-Wheat,Dry Mix,Incomplete",,344.0,12.8,1.5,71.0,,,449.0,,7.84,1419.0,445.0,,,,,,,,,0.0,,,
"Pancakes,Whole-Wheat,Dry Mix,Incomplete,Prep",,208.0,8.5,6.5,29.4,,,250.0,,3.11,572.0,279.0,,,,,,,,,0.5,,,
"Pie Crust,Cookie-Type,Prep From Recipe,Graham Cracker,Bkd",,494.0,4.2,24.9,65.2,,,21.0,,2.17,571.0,88.0,,,,,,,,,0.0,,,
"Pie Crust,Standard-Type,Dry Mix",,518.0,6.9,31.4,52.1,,,61.0,,2.22,753.0,64.0,,,,,,,,,0.0,,,
